Date,Govt,Corp,Equity,Govt,Corp,Equity,
26-May-20,115.49,471.89,6118.54,1.1549,1.157302269,1.186812377,
27-May-20,115.46,472.2,6209.38,1.1546,1.158062538,1.204432599,
28-May-20,115.38,472.88,6197.02,1.1538,1.159730227,1.202035132,
29-May-20,115.6,474.55,6227.81,1.156,1.163825874,1.208007464,
01-Jun-20,115.48,474.54,6251.48,1.1548,1.163801349,1.212598731,
02-Jun-20,115.36,475.11,6303,1.1536,1.165199264,1.222592058,
03-Jun-20,114.93,474.8,6389.67,1.1493,1.164438994,1.239403426,
04-Jun-20,114.57,474.16,6369.54,1.1457,1.162869405,1.235498813,
05-Jun-20,114.27,475.69,6536.58,1.1427,1.166621704,1.267899539,
08-Jun-20,114.36,477.48,6615.4,1.1436,1.171011649,1.283188244,
09-Jun-20,114.71,478.71,6564.27,1.1471,1.174028204,1.273270565,
10-Jun-20,115.22,480.71,6529.42,1.1522,1.17893317,1.266510715,
11-Jun-20,115.62,479.85,6145.3,1.1562,1.176824034,1.19200301,
12-Jun-20,115.38,478.85,6227.42,1.1538,1.174371551,1.207931816,
15-Jun-20,115.39,478.78,6279.4,1.1539,1.174199877,1.218014369,
16-Jun-20,115.07,481.2,6398.58,1.1507,1.180134887,1.241131698,
17-Jun-20,115.16,481.97,6375.54,1.1516,1.182023299,1.236662632,
18-Jun-20,115.41,482.69,6379.56,1.1541,1.183789086,1.237442391,
19-Jun-20,115.43,483.13,6344.7,1.1543,1.184868179,1.230680601,
22-Jun-20,115.43,482.99,6385.91,1.1543,1.184524831,1.2386741,
23-Jun-20,115.3,482.31,6413.44,1.153,1.182857143,1.24401409,
24-Jun-20,115.56,482.69,6247.66,1.1556,1.183789086,1.211857766,
25-Jun-20,115.6,482.1,6316.45,1.156,1.182342121,1.225200953,
26-Jun-20,115.89,483.42,6163.5,1.1589,1.185579399,1.195533262,
29-Jun-20,115.89,483.3,6254.78,1.1589,1.185285101,1.213238831,
30-Jun-20,115.76,483.34,6351.67,1.1576,1.1853832,1.232032571,
01-Jul-20,115.67,484.03,6383.76,1.1567,1.187075414,1.238257064,
02-Jul-20,115.74,485.62,6414.16,1.1574,1.190974862,1.244153748,
06-Jul-20,115.62,486.48,6516.05,1.1562,1.193083998,1.263917338,
07-Jul-20,115.96,488.76,6445.59,1.1596,1.198675659,1.250250221,
08-Jul-20,115.86,488.35,6496.14,1.1586,1.197670141,1.260055398,
09-Jul-20,116.24,490.38,6461.31,1.1624,1.202648682,1.253299427,
10-Jul-20,116.07,489.75,6528.96,1.1607,1.201103617,1.266421489,
13-Jul-20,116.18,490.72,6467.84,1.1618,1.203482526,1.254566051,
